Primer,Slope_PX,Intercept_PX,R^2_PX,P-value_PX,Std Err_PX,Efficiency (%)_PX,Slope_KT,Intercept_KT,R^2_KT,P-value_KT,Std Err_KT,Efficiency (%)_KT
Primer Pair 07,-1.037362751,8.640131911,0.997444163,1.1223E-07,0.023483778,95.06878629,-0.943323387,17.37517246,0.982152153,0.001017441,0.073418162,108.504981
Primer Pair 11,-1.073184169,9.414798172,0.993597687,1.11614E-06,0.038525867,90.76632399,-0.953051625,17.14318469,0.98962671,4.05E-05,0.048787548,106.9469668
Primer Pair 15,-1.021770362,9.822201095,0.995823371,3.83347E-07,0.029593073,97.06799435,-0.922921066,17.29052612,0.979477757,0.001255513,0.077129242,111.9194905
Primer Pair 17,-1.036574467,8.654694182,0.991485349,2.27835E-06,0.04295916,95.16793231,-0.897779527,17.39618567,0.989007401,4.55E-05,0.047324945,116.4238084
Primer Pair 21,-1.011446183,9.319286094,0.994602562,7.28093E-07,0.033321675,98.43731601,-0.825156728,17.73761564,0.981430001,0.001080049,0.065531799,131.641057
Primer Pair 24,-1.023277753,8.343835838,0.99243223,1.6962E-06,0.039961526,96.87115878,-0.902180225,17.03059365,0.970277554,0.002194489,0.091164753,115.6102822
Primer Pair 27,-1.037981222,8.422011731,0.989291092,4.04492E-06,0.048296431,94.991139,-0.924798932,17.0604511,0.988518481,4.82E-06,0.044572767,111.5965532
Primer Pair 33,-1.025292668,8.541562354,0.991699529,2.13761E-06,0.041949247,96.60925976,-0.856581428,17.49817758,0.980389313,0.00014517,0.060573933,124.6114283
Primer Pair 37,-1.037280525,8.877628974,0.991964746,1.97074E-06,0.041750619,95.07911879,-0.901442973,17.44826453,0.980171751,0.001192117,0.074023348,115.745806
Primer Pair 40,-1.026427157,8.10494802,0.994878106,6.38633E-07,0.032936201,96.46240384,-0.875408748,17.47607221,0.977624797,0.001430145,0.07646235,120.7362415
Primer Pair 56,-1.095498567,10.81565427,0.992289971,1.77713E-06,0.043185259,88.27303504,-0.944191176,17.43661652,0.983856157,0.000874814,0.069829184,108.3642178
Previous,-1.04137515,9.118559561,0.999807003,1.138E-06,0.008353414,94.56722895,-0.843022657,17.83600728,0.958698047,0.020868728,0.123728179,127.5538095
